License ID,License Description
1,Microsoft Office 365 Business
2,Adobe Creative Cloud
3,AutoCAD LT
4,Zoom Meetings Pro
5,Slack Standard Plan
6,GitHub Enterprise
7,Salesforce Sales Cloud
8,QuickBooks Online Plus
9,Dropbox Business Advanced
10,Atlassian Confluence
11,Atlassian Jira Software
12,Google Workspace Business Standard
13,AWS Lambda
14,Microsoft Azure DevOps
15,SAP S/4HANA Cloud
16,Oracle Database Cloud Service
17,IBM SPSS Statistics
18,Tableau Desktop
19,MATLAB
20,Slack Enterprise Grid
21,Trello Business Class
22,Visual Studio Enterprise
23,GitLab Ultimate
24,Zendesk Support Suite
25,HubSpot Marketing Hub
26,Asana Premium
27,ServiceNow IT Service Management
28,DocuSign Business Pro
29,Shopify Plus
30,Mailchimp Standard
31,Monday.com Pro
32,Notion Team Plan
33,Freshdesk Omnichannel
34,Microsoft Dynamics 365 Sales
35,GitKraken Pro
36,Bitbucket Premium
37,Cisco Webex Meetings
38,BlueJeans Meetings
39,Zoom Video Webinars
40,Microsoft Power BI Pro 
